id,Погибло,Погибло детей,Ранено,Ранено детей
490078911,0,0,0,0
490055448,0,0,0,0
490054440,0,0,0,0
490037847,0,0,0,0
490037049,0,0,0,0
490042616,0,0,0,0
490084051,0,0,0,0
490009858,0,0,0,0
490050700,0,0,0,0
490095753,0,0,0,0
490006661,0,0,0,0
490074742,0,0,0,0
490120651,0,0,0,0
490005279,0,0,0,0
490075792,0,0,0,0
490120139,0,0,0,0
490124756,0,0,0,0
490110191,0,0,0,0
490057161,0,0,0,0
490022081,0,0,0,0
490073687,0,0,0,0
490076387,0,0,0,0
490060630,0,0,0,0
490108404,0,0,0,0
490034678,0,0,0,0
490048356,0,0,0,0
490053688,0,0,0,0
490052005,0,0,0,0
490006865,0,0,0,0
490122941,0,0,0,0
490081542,0,0,0,0
490002631,0,0,0,0
490032253,0,0,0,0
490002514,0,0,0,0
490108786,0,0,0,0
490055820,0,0,0,0
490058649,0,0,0,0
490010061,0,0,0,0
490106983,0,0,0,0
490082982,0,0,0,0
490034446,0,0,0,0
490078138,0,0,0,0
490015980,0,0,0,0
490026744,0,0,0,0
490064289,0,0,0,0
490028363,0,0,0,0
490062426,0,0,0,0
490055653,0,0,0,0
490038706,0,0,0,0
490029361,0,0,0,0
490114467,0,0,0,0
490059008,0,0,0,0
490091780,0,0,0,0
490099610,0,0,0,0
490088947,0,0,0,0
490011023,0,0,0,0
490097336,0,0,0,0
490067379,0,0,0,0
490040560,0,0,0,0
490064279,0,0,0,0
490097775,0,0,0,0
490044336,0,0,0,0
490085609,0,0,0,0
490078819,0,0,0,0
490083921,0,0,0,0
490115626,0,0,0,0
490086102,0,0,0,0
490056091,0,0,0,0
490090574,0,0,0,0
490122339,0,0,0,0
490069118,0,0,0,0
490053891,0,0,0,0
490015797,0,0,0,0
490055931,0,0,0,0
490077268,0,0,0,0
490117038,0,0,0,0
490044097,0,0,0,0
490051556,0,0,0,0
490033962,0,0,0,0
490094732,0,0,0,0
490080986,0,0,0,0
490079067,0,0,0,0
490092541,0,0,0,0
490109091,0,0,0,0
490124049,0,0,0,0
490025520,0,0,0,0
490053672,0,0,0,0
490092208,0,0,0,0
490002536,0,0,0,0
490124504,0,0,0,0
490004277,0,0,0,0
490067498,0,0,0,0
490109235,0,0,0,0
490023956,0,0,0,0
490052978,0,0,0,0
490040461,0,0,0,0
490013825,0,0,0,0
490072230,0,0,0,0
490075743,0,0,0,0
490007543,0,0,0,0
490105146,0,0,0,0
490073205,0,0,0,0
490031422,0,0,0,0
490022277,0,0,0,0
490084394,0,0,0,0
490020310,0,0,0,0
490005796,0,0,0,0
490074132,0,0,0,0
